CoffeeID,ID,Country of Origin,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
0,0,Colombia,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10.0,10.0,10.0,8.58,0.0,89.33,11.8,0,0,green,3
1,1,Taiwan,Gesha,Washed / Wet,8.5,8.5,7.92,8.0,7.92,8.25,10.0,10.0,10.0,8.5,0.0,87.58,10.5,0,0,blue-green,0
2,2,Laos,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10.0,10.0,10.0,8.33,0.0,87.42,10.4,0,0,yellowish,2
3,3,Costa Rica,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10.0,10.0,10.0,8.25,0.0,87.17,11.8,0,0,green,0
4,4,Colombia,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10.0,10.0,10.0,8.25,0.0,87.08,11.6,0,2,yellow-green,2
5,5,Guatemala,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10.0,10.0,10.0,8.25,0.0,87.0,10.7,0,0,green,2
6,6,Taiwan,Gesha,Washed / Wet,8.33,8.17,8.08,8.0,7.83,8.25,10.0,10.0,10.0,8.25,0.0,86.92,9.1,0,0,green,0
7,7,Taiwan,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8.0,7.92,8.08,10.0,10.0,10.0,8.08,0.0,86.75,10.0,0,0,yellow green,1
8,8,Taiwan,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8.0,10.0,10.0,10.0,8.25,0.0,86.67,10.8,0,0,greenish,0
9,9,"Tanzania, United Republic Of",Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.5,11.0,0,0,greenish,0
10,10,Ethiopia,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8.0,8.08,7.92,7.92,10.0,10.0,10.0,8.0,0.0,86.25,11.8,0,1,greenish,1
11,11,Guatemala,Gesha,Natural / Dry,8.08,8.0,8.0,7.75,8.25,8.17,10.0,10.0,10.0,8.0,0.0,86.25,11.5,0,0,brownish,1
12,12,Taiwan,Gesha,Washed / Wet,8.08,8.0,8.08,8.08,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.25,11.9,0,0,green,0
13,13,Ethiopia,Gesha,Natural / Dry,7.67,8.17,8.0,8.33,8.0,8.0,10.0,10.0,10.0,8.0,0.0,86.17,11.6,0,3,yellow- green,2
14,14,Colombia,Caturra,Washed / Wet,8.08,8.0,8.08,7.92,8.08,8.0,10.0,10.0,10.0,8.0,0.0,86.17,10.6,0,0,green,0
15,15,Taiwan,SL34,Pulped natural / honey,8.17,8.08,8.0,7.92,8.0,7.92,10.0,10.0,10.0,8.0,0.0,86.08,10.2,0,0,green,0
16,16,Ethiopia,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,8.08,0.0,86.08,11.3,0,2,green,2
17,17,Taiwan,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,0.0,86.08,10.3,0,0,yellow-green,0
18,18,Taiwan,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,0.0,85.92,11.0,0,0,brownish,1
19,19,"Tanzania, United Republic Of",Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,0.0,85.83,10.0,0,0,greenish,0
20,20,Guatemala,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,8.08,0.0,85.75,11.6,0,0,yellowish,0
21,21,Taiwan,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,7.92,0.0,85.67,10.4,0,0,green,0
22,22,Thailand,Catimor,Pulped natural / honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,8.08,0.0,85.67,9.8,0,0,browish-green,5
23,23,Colombia,Castillo Paraguaycito,,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.67,11.3,0,0,brownish,2
24,24,Taiwan,SL34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,7.92,0.0,85.58,10.6,0,0,bluish-green,0
25,25,Brazil,,Pulped natural / honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,0.0,85.5,11.3,2,0,green,3
26,26,Taiwan,Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.5,9.1,0,0,green,2
27,27,Taiwan,Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.0,85.5,10.6,0,0,green,0
28,28,Taiwan,Gesha,Natural / Dry,8.0,8.0,8.0,7.92,7.75,7.92,10.0,10.0,10.0,7.92,0.0,85.5,10.2,0,0,blue-green,0
29,29,United States (Hawaii),Typica,Washed / Wet,8.0,7.92,8.0,7.83,7.67,8.0,10.0,10.0,10.0,8.0,0.0,85.42,9.3,0,0,green,0
30,30,Taiwan,Typica,Washed / Wet,8.0,8.0,7.83,7.83,7.75,7.92,10.0,10.0,10.0,8.08,0.0,85.42,11.4,0,0,bluish-green,0
