CountryID,Country of Origin
0,Colombia
1,Taiwan
2,Laos
3,Costa Rica
4,Colombia
5,Guatemala
6,Taiwan
7,Taiwan
8,Taiwan
9,"Tanzania, United Republic Of"
10,Ethiopia
11,Guatemala
12,Taiwan
13,Ethiopia
14,Colombia
15,Taiwan
16,Ethiopia
17,Taiwan
18,Taiwan
19,"Tanzania, United Republic Of"
20,Guatemala
21,Taiwan
22,Thailand
23,Colombia
24,Taiwan
25,Brazil
26,Taiwan
27,Taiwan
28,Taiwan
29,United States (Hawaii)
30,Taiwan
31,Taiwan
32,Taiwan
33,Ethiopia
34,Ethiopia
35,Ethiopia
36,Taiwan
37,Taiwan
38,Kenya
39,Taiwan
40,Taiwan
41,Taiwan
42,Taiwan
43,Uganda
44,Taiwan
45,Taiwan
46,Guatemala
47,Guatemala
48,Guatemala
49,Taiwan
50,Taiwan
51,Indonesia
52,Peru
53,"Tanzania, United Republic Of"
54,Taiwan
55,Taiwan
56,Brazil
57,Panama
58,Taiwan
59,Guatemala
60,Guatemala
61,Costa Rica
62,Taiwan
63,Taiwan
64,Nicaragua
65,Taiwan
66,Taiwan
67,Vietnam
68,Costa Rica
69,Taiwan
70,Honduras
71,Ethiopia
72,Taiwan
73,Taiwan
74,Guatemala
75,United States (Hawaii)
76,Ethiopia
77,El Salvador
78,Colombia
79,Indonesia
80,Guatemala
81,Madagascar
82,Honduras
83,Guatemala
84,Taiwan
85,Taiwan
86,Guatemala
87,Guatemala
88,Honduras
89,"Tanzania, United Republic Of"
90,Ethiopia
91,"Tanzania, United Republic Of"
92,Colombia
93,Costa Rica
94,Guatemala
95,Guatemala
96,Thailand
97,Colombia
98,Guatemala
99,Guatemala
100,Ethiopia
101,Colombia
102,United States (Hawaii)
103,Colombia
104,Mexico
105,Colombia
106,Taiwan
107,Myanmar
108,Taiwan
109,Honduras
110,Taiwan
111,Taiwan
112,Guatemala
113,Honduras
114,Colombia
115,Thailand
116,Ethiopia
117,Thailand
118,Uganda
119,Taiwan
120,Uganda
121,Taiwan
122,Guatemala
123,Taiwan
124,Colombia
125,Costa Rica
126,Taiwan
127,Thailand
128,"Tanzania, United Republic Of"
129,Brazil
130,Taiwan
131,Colombia
132,Honduras
133,Honduras
134,Taiwan
135,Taiwan
136,Laos
137,Honduras
138,Honduras
139,Colombia
140,Taiwan
141,Mexico
142,Colombia
143,Taiwan
144,Honduras
145,Thailand
146,Vietnam
147,Nicaragua
148,Costa Rica
149,Colombia
150,Thailand
151,Thailand
152,Honduras
153,Taiwan
154,Taiwan
155,Nicaragua
156,El Salvador
157,Panama
158,Brazil
159,United States (Hawaii)
160,Mexico
161,Honduras
162,Taiwan
163,Nicaragua
164,Vietnam
165,El Salvador
166,El Salvador
167,Taiwan
168,Peru
169,United States (Hawaii)
170,Kenya
171,Honduras
172,Taiwan
173,Taiwan
174,Taiwan
175,Thailand
176,Costa Rica
177,Guatemala
178,Indonesia
179,Peru
180,Guatemala
181,Taiwan
182,Vietnam
183,Brazil
184,Brazil
185,Colombia
186,Mexico
187,Costa Rica
188,Taiwan
189,Taiwan
190,Thailand
191,Thailand
192,Thailand
193,Colombia
194,Brazil
195,El Salvador
196,Nicaragua
197,Nicaragua
198,Colombia
199,Peru
200,El Salvador
201,Brazil
202,Brazil
203,Nicaragua
204,Laos
205,El Salvador
206,Brazil
